167	178
162	31
142	96
132	169
169	74
36	173
113	125
109	22
96	101
31	50
46	174
67	50
79	79
128	148
33	64
24	60
108	75
182	39
89	134
65	140
184	149
137	170
82	101
72	144
113	93
140	95
29	66
182	117
155	32
98	99
86	52
91	27
182	108
96	133
168	175
166	170
47	121
131	116
176	173
170	41
117	150
40	161
182	73
169	47
116	128
17	122
62	93
170	23
126	144
147	43
156	144
41	109
119	32
28	62
107	70
135	103
12	142
126	120
109	41
65	152
105	39
72	76
48	158
25	132
112	30
69	151
9	117
168	131
40	88
182	105
137	153
72	53
134	88
132	46
180	86
80	35
63	151
175	158
181	38
41	111
154	22
49	163
144	41
103	35
98	44
101	95
168	119
134	169
169	35
134	144
20	139
179	52
82	39
65	114
51	170
69	47
137	85
113	102
128	159
149	152
121	31
78	134
89	29
39	98
178	161
108	94
34	112
122	132
175	70
22	134
125	60
168	74
62	113
171	86
48	92
70	142
40	162
52	32
105	126
171	180
184	153
173	81
26	50
171	176
145	181
56	38
86	41
132	81
46	122
119	19
118	51
174	133
66	136
104	59
41	48
131	114
97	138
78	145
30	64
53	30
133	95
137	107
28	86
108	30
34	179
13	157
122	150
117	156
163	171
47	95
120	153
80	143
90	157
176	24
19	136
178	154
91	42
132	156
117	53
62	147
86	158
86	91
86	97
50	111
118	134
160	128
138	45
43	90
79	91
32	94
57	98
169	169
105	21
90	166
26	179
134	182
134	142
109	146
128	154
76	129
31	56
79	128
146	89
74	36
177	133
171	41
44	174
37	156
147	184
61	45
50	121
117	157
46	117
35	38
102	90
67	68
123	147
168	116
145	141
67	53
117	54
42	41
183	33
70	40
36	37
50	32
42	162
95	162
38	169
91	107
150	39
31	111
44	182
121	53
64	45
84	39
68	39
182	71
64	143
130	181
160	174
83	159
168	87
67	58
106	125
158	22
160	16
105	161
143	34
23	55
102	21
106	45
103	77
62	39
70	55
24	57
176	17
71	42
73	150
129	40
104	137
99	148
89	76
152	185
83	171
169	103
51	39
140	27
107	158
18	161
103	23
129	150
153	141
97	91
101	84
143	94
181	31
119	62
31	107
180	66
105	65
150	137
8	129
75	88
149	177
158	171
69	89
56	37
152	138
35	108
98	153
106	102
132	171
44	153
67	91
147	92
144	175
82	97
95	68
40	153
179	100
63	39
118	110
141	175
43	48
162	179
42	87
30	58
116	57
133	178
56	108
128	106
165	131
112	54
37	179
167	124
150	43
130	83
140	143
44	163
156	176
47	113
113	85
19	161
40	87
130	155
109	70
174	76
115	70
120	123
77	48
93	154
16	145
128	144
128	147
129	176
23	140
127	49
56	51
40	183
26	45
146	145
66	105
12	157
167	17
56	101
81	100
107	44
177	168
23	59
145	28
46	158
38	156
67	93
102	140
27	59
182	65
176	31
46	120
125	120
148	135
121	151
113	94
98	96
125	111
175	56
26	90
101	68
97	92
102	123
23	67
47	118
41	87
127	155
71	95
70	88
76	75
143	179
60	112
177	58
93	54
49	121
64	39
175	33
66	34
57	158
74	73
74	80
168	172
173	178
115	19
50	123
96	147
52	96
104	38
106	76
165	137
101	106
175	129
170	45
90	48
154	181
132	147
120	116
60	153
127	57
95	23
78	47
71	53
178	116
174	91
42	94
27	55
68	109
90	105
101	69
168	89
185	162
116	134
144	156
99	136
107	16
104	122
65	48
144	38
17	187
44	170
76	128
161	129
74	34
138	157
118	126
113	159
142	94
48	98
85	39
58	98
125	128
96	74
119	35
63	38
184	150
88	71
162	130
113	74
110	125
177	37
169	54
38	76
39	96
163	34
177	32
65	96
73	138
107	59
129	114
60	138
102	46
42	59
171	84
29	59
45	39
46	31
93	40
44	113
133	106
39	58
36	33
135	52
10	117
128	45
63	72
177	87
66	100
175	21
69	145
177	43
98	40
114	17
48	102
167	116
90	35
39	114
163	33
45	152
48	157
96	129
27	106
91	25
177	173
49	175
40	65
151	30
173	18
78	89
45	124
28	108
176	130
96	137
24	147
101	64
188	164
109	38
70	135
23	83
57	41
93	96
33	107
135	60
50	97
55	32
181	160
171	110
124	126
180	176
177	82
34	102
124	121
35	174
90	106
30	110
85	163
89	155
43	121
38	166
122	60
27	62
88	93
41	176
144	185
50	164
60	75
16	176
93	63
113	98
105	89
103	154
78	144
131	169
174	168
172	122
105	97
49	109
16	115
88	161
140	53
190	151
110	149
108	134
41	96
141	89
131	115
59	141
165	134
171	29
72	133
93	134
102	64
84	174
67	114
180	123
43	165
15	161
38	41
86	69
73	136
41	167
182	53
51	119
35	105
81	136
148	47
144	40
113	114
42	60
177	76
145	86
35	167
125	44
69	38
78	78
61	114
101	136
172	65
121	145
45	151
115	16
173	30
160	142
141	114
176	123
176	95
66	155
119	178
146	47
171	140
38	49
75	150
117	62
137	169
151	183
96	87
64	100
136	58
124	146
125	170
42	44
90	174
144	24
44	104
81	104
149	141
52	124
144	153
41	102
182	93
20	154
61	111
57	51
109	89
76	63
46	157
98	167
112	39
62	152
109	34
41	159
176	20
48	165
99	42
40	172
183	162
71	108
131	89
50	42
112	72
76	73
121	66
131	62
106	78
50	154
98	151
151	38
56	97
18	124
55	122
181	96
120	51
183	42
86	169
72	99
171	17
139	150
165	119
26	153
87	98
86	155
13	148
126	122
70	145
178	128
138	49
76	49
156	151
87	105
28	39
61	152
131	170
155	176
12	122
143	25
177	90
124	62
113	128
56	79
18	144
106	162
132	103
16	128
179	79
98	104
94	96
169	16
81	76
75	78
180	98
61	50
60	44
82	40
148	179
181	153
71	71
104	45
164	124
178	159
157	135
131	145
97	132
63	120
91	138
89	70
129	126
168	44
62	71
101	105
84	77
175	51
87	32
146	25
180	114
113	116
81	101
118	115
121	178
96	162
72	35
90	45
141	27
44	53
137	41
112	160
98	107
24	68
77	103
97	89
157	22
101	65
170	38
117	124
171	22
71	92
106	67
37	48
160	29
44	123
10	139
95	88
54	157
121	149
103	93
23	93
94	85
151	178
87	29
27	78
100	156
27	42
51	105
99	165
102	77
92	130
108	145
180	171
154	183
78	65
176	74
156	20
50	114
180	95
90	127
108	118
44	171
160	179
21	150
165	179
42	118
176	82
97	95
98	71
95	156
130	171
70	140
140	179
59	37
15	128
64	108
89	97
95	70
61	71
182	85
63	69
110	120
16	144
115	71
65	52
62	54
150	185
32	43
125	179
110	122
87	39
144	112
87	102
165	29
76	100
177	77
44	180
128	55
173	47
90	175
74	74
16	157
84	31
19	185
137	87
55	106
171	69
169	141
120	176
106	123
101	78
67	136
129	180
23	175
24	180
44	89
151	35
24	175
56	31
127	52
31	104
86	54
141	140
143	112
58	140
86	37
44	108
164	180
85	65
182	100
104	70
170	42
42	110
180	69
42	109
99	38
47	124
59	68
112	32
40	64
97	131
121	147
122	59
90	62
23	139
81	55
99	134
45	153
131	47
24	145
148	28
100	136
28	187
21	148
42	66
55	140
170	166
190	157
98	136
144	48
170	77
120	27
71	73
43	174
77	77
124	169
95	30
99	20
142	52
34	40
80	66
92	169
94	170
53	109
178	47
178	123
94	150
103	164
175	95
138	183
16	126
112	102
